lemma,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
"sweet potato",12,10,7,80,4,7,3,11,39,49,0,26,11,4,9,8,13,0,17,18,19,13,18,13,0,1,3,1,28,2,52,46,0,22,11,5,28,1,12,1,15,60,1,2,18,8,3,7,0
"sweetened condensed milk",0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
"swiss chard",0,2,0,2,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1,0,1,0
"swiss cheese",0,2,0,12,1,1,0,0,3,3,0,0,1,1,1,2,3,0,5,1,4,1,0,0,0,0,1,0,3,0,8,4,0,2,1,0,7,0,1,0,4,2,0,0,6,2,0,4,0
"swordfish",1,0,0,7,0,1,0,0,3,0,0,5,1,1,0,0,0,1,0,4,3,1,1,0,0,0,0,2,0,0,6,1,0,1,0,0,2,0,0,0,1,2,0,0,1,0,0,0,0
"tangerines",1,2,1,6,0,1,1,0,2,6,0,1,1,1,1,0,0,1,3,1,1,0,0,1,0,1,1,0,0,0,3,3,0,7,0,0,5,0,1,0,0,1,0,1,2,0,0,2,0
"taro",0,0,0,13,0,0,0,0,1,1,0,3,0,0,0,6,0,0,1,1,0,1,0,0,0,0,0,0,3,0,6,0,0,2,1,2,0,1,0,0,3,3,0,0,0,3,0,0,0
"tempeh",0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"thin crust pizza",0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,1,0,6,1,0,0,0,0,0,2,0,0,0,2,1,0,1,1,0,0,0
"tofu",2,7,1,61,3,5,0,1,8,13,0,7,3,0,3,1,0,3,4,4,9,4,0,4,1,0,7,0,6,1,15,8,0,9,4,1,11,3,5,0,2,18,2,0,5,6,0,0,0
"tomato",23,24,15,240,22,17,2,18,79,57,1,76,32,11,12,22,29,5,27,39,45,30,16,39,1,2,27,8,55,5,140,32,3,87,10,16,58,9,16,0,31,102,9,3,41,29,10,19,1
"tomato sauce",0,0,1,8,0,0,0,1,0,6,0,0,1,1,0,0,4,0,2,5,1,1,1,3,0,0,0,0,6,0,9,3,0,2,0,0,5,0,3,1,0,5,0,0,1,0,0,1,0
"tortilla",1,11,3,107,4,2,0,3,7,5,0,20,6,3,6,5,2,0,10,5,5,7,1,1,0,0,2,0,6,13,12,12,0,10,7,5,12,0,1,1,6,103,6,5,2,6,0,2,0
"trout",4,15,2,68,7,4,1,0,10,7,0,9,7,2,11,1,6,1,4,7,12,4,0,7,1,3,0,0,10,4,14,5,2,10,2,3,14,0,1,0,9,13,1,1,4,5,2,6,2
"tuna",20,15,10,150,9,13,8,7,50,28,6,47,18,4,8,7,33,3,33,30,33,11,19,13,1,2,5,3,47,2,66,28,1,42,5,10,43,2,17,4,15,91,12,3,23,20,6,15,0
"tuna salad",0,2,1,9,1,1,0,3,2,2,0,12,0,0,3,0,3,0,4,1,4,0,1,6,0,0,0,0,4,0,5,2,0,2,1,0,3,0,2,0,1,4,0,0,3,0,0,2,0
"turkey",45,76,29,428,48,58,11,23,204,140,5,144,61,29,33,56,51,9,108,106,112,70,35,53,6,21,34,15,126,23,306,119,4,186,38,26,188,13,65,5,87,295,19,4,108,57,19,38,3
"turkey bacon",8,1,5,48,4,1,7,4,14,30,2,19,7,4,4,6,7,1,20,7,17,6,8,4,0,0,9,2,23,2,41,16,1,24,2,2,34,0,9,1,7,31,2,0,14,3,1,2,0
"turkey burger",3,4,3,46,5,4,2,2,15,14,0,19,1,3,1,1,3,0,11,6,7,5,1,1,0,1,8,1,9,1,21,12,1,13,2,7,18,0,4,0,15,31,0,0,12,0,2,2,0
"turkey leg",2,1,4,25,0,0,0,1,16,9,0,4,1,0,0,2,1,1,2,2,0,1,5,2,0,0,1,0,1,1,6,10,0,2,1,0,0,1,3,0,1,29,0,0,5,0,1,1,0
"turkey necks",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"turkey sausage",0,1,0,4,2,0,1,2,6,5,0,3,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,0,1,0,3,2,0,2,0,0,3,0,0,0,1,4,0,0,3,1,0,2,0
"turkey wings",1,0,1,0,0,0,0,2,1,5,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,2,0,4,0,0,1,0,0,2,0,0,0,0
"turnip greens",1,0,0,0,0,0,0,0,4,5,0,2,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,4,0,1,0,0,1,0,2,0,8,2,0,0,0,0,0,0,0
"turnips",2,0,2,4,0,0,1,2,2,6,0,2,3,0,0,0,0,0,3,1,1,1,0,1,1,0,0,1,1,1,4,6,1,2,0,2,2,0,3,0,2,1,2,0,0,0,1,1,0
"veal",0,0,0,8,1,0,0,0,3,4,0,4,3,0,0,1,12,0,0,4,2,0,0,0,0,0,2,0,4,0,8,2,0,6,0,1,1,0,0,0,3,5,0,1,1,1,0,1,0
"veggie burger",0,7,0,47,2,6,3,4,15,8,0,9,3,2,3,1,6,1,5,12,5,5,1,1,0,1,4,0,9,0,25,5,0,8,1,3,10,0,3,0,4,22,2,0,6,6,1,0,0
"veggie burrito",0,0,0,14,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0
"venison",1,0,1,2,0,1,0,0,2,0,0,2,2,0,0,0,1,0,1,1,0,1,1,1,0,0,0,2,0,0,5,1,2,2,0,0,5,1,0,0,3,2,0,0,2,1,1,6,1
"vienna sausages",4,0,3,1,0,0,0,0,3,3,0,1,0,0,0,0,1,1,1,0,2,0,2,0,0,0,1,0,0,1,1,2,0,2,0,0,1,0,1,0,1,4,0,0,1,0,0,1,0
"walnuts",1,1,0,25,2,0,1,1,5,2,0,2,2,1,0,1,1,0,5,4,0,0,1,3,0,0,1,1,3,1,11,3,0,1,0,3,4,0,1,0,0,3,0,1,5,4,0,1,0
"watermelon",21,17,12,125,11,15,10,6,53,46,2,44,27,8,13,8,23,2,35,18,32,13,14,15,0,12,16,3,23,6,59,36,3,47,14,8,45,7,17,3,24,81,5,1,29,15,3,12,1
"wendy''s old fashioned hamburgers",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"white bread",2,2,0,8,1,2,1,0,3,5,0,6,0,1,1,0,1,0,2,1,4,2,1,3,0,0,1,0,4,0,10,2,1,3,3,0,8,1,4,0,1,8,0,0,0,0,1,2,0
"white cheddar popcorn",1,0,0,4,1,0,0,0,4,2,0,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,4,2,0,0,0,0,2,0,2,0,1,4,0,0,3,0,1,0,0
"whole wheat pancakes",0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"whole wheat toast",0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"wild rice",0,0,0,1,0,8,0,1,4,3,0,1,1,0,2,1,2,0,0,0,5,3,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,6,0,0,0,0,0,0,0
"yellow cake",0,2,0,1,1,0,1,1,0,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0
"yogurt",3,0,2,21,3,5,0,0,10,6,0,4,3,0,1,0,3,0,2,6,5,1,1,2,0,1,2,0,8,1,9,7,0,6,1,1,10,2,2,1,2,13,3,1,6,2,0,3,0
"zebra cakes",0,2,2,2,1,0,2,0,4,4,0,3,2,1,1,2,4,0,3,3,0,0,2,3,0,0,1,0,2,0,2,3,0,4,0,0,4,0,2,1,1,6,0,0,2,1,0,1,0
"zucchini",0,4,2,18,2,3,0,1,8,5,1,5,1,0,4,0,2,0,1,6,3,3,0,2,0,0,0,0,7,1,9,3,0,5,2,6,5,0,3,0,4,7,1,0,3,4,0,2,1
